Source,Target,Type
1128097962503036928,14,Undirected
1129874115119030272,11,Undirected
1127082115802095616,10,Undirected
1129703785582845953,10,Undirected
1129736888443650048,12,Undirected
1128480947437883392,14,Undirected
1129866729948045312,11,Undirected
1129668298524643328,12,Undirected
1128881569320431616,13,Undirected
1129573645217439744,10,Undirected
1127563837241217024,10,Undirected
1129342182647771136,12,Undirected
1127388461273452545,11,Undirected
1128171251178954753,12,Undirected
1128112357471686656,11,Undirected
1128856185656897536,14,Undirected
1127508736103202817,10,Undirected
1130242722013409281,11,Undirected
1127313256551309312,10,Undirected
1129883744326733824,10,Undirected
1129147884400603136,14,Undirected
1129743960094781440,12,Undirected
1129587234666106880,12,Undirected
1129721869760778241,13,Undirected
1130398769038516224,10,Undirected
1128910450534387712,12,Undirected
1128254443949051904,11,Undirected
1129755259117678595,12,Undirected
1128973641020919809,14,Undirected
1126981159039070209,10,Undirected
1129661128949157889,14,Undirected
1129550146759380992,14,Undirected
1128231311104065547,10,Undirected
1128942089494941697,13,Undirected
1129703145473421312,12,Undirected
1129527686898917376,12,Undirected
1129684375812038656,11,Undirected
1128448984366764032,12,Undirected
1127129278552756224,12,Undirected
1130069173403410433,12,Undirected
1129931883406430208,10,Undirected
1128861880003334144,11,Undirected
1128794846771048449,12,Undirected
1127850648991440897,12,Undirected
1127715254652194816,11,Undirected
1129905340928016385,12,Undirected
1127148271485497345,12,Undirected
1127079418130624512,10,Undirected
1127753576900481024,11,Undirected
1128996655150247936,13,Undirected
1130345115526893568,11,Undirected
1129716626771795968,13,Undirected
1129233989707808768,12,Undirected
1129711412001951744,13,Undirected
1127169121622167552,11,Undirected
1129748703466676224,10,Undirected
1129969441683329024,10,Undirected
1129920934272487426,11,Undirected
1128959848639475712,10,Undirected
1126949616333680640,10,Undirected
1129721381359251456,12,Undirected
1129886857771114496,10,Undirected
1128681035934265344,12,Undirected
1127381565502189569,10,Undirected
1129518268232847361,14,Undirected
1128516418046050304,12,Undirected
1129744487566249984,14,Undirected
1128141315642757121,11,Undirected
1129554254283206656,12,Undirected
1127061058437300225,10,Undirected
1128089709001895936,10,Undirected
1129734889111265281,11,Undirected
1129744532466208771,10,Undirected
1128056709006495744,14,Undirected
1130388228068876288,12,Undirected
1128137315786772480,11,Undirected
1129710826766520320,11,Undirected
1129306066733289473,12,Undirected
1127885610268553216,13,Undirected
1127715479139733504,10,Undirected
1127033637155659776,12,Undirected
1128830425307107328,12,Undirected
1128963391194894336,12,Undirected
1128549503810752513,11,Undirected
1129610937671929857,10,Undirected
1128496701168209927,12,Undirected
1128405271926042625,11,Undirected
1129711385133191168,10,Undirected
1129665451901050880,11,Undirected
1129725219978002432,12,Undirected
1127958040630530050,11,Undirected
1129819206415859717,12,Undirected
1128960135555010560,11,Undirected
1129707172793683968,11,Undirected
1127023090041376768,12,Undirected
1129693860391559169,10,Undirected
1128503705878159360,11,Undirected
1128131824163672066,12,Undirected
1128977433246363648,12,Undirected
1127922513881616384,11,Undirected
1129717761230290945,12,Undirected
1129888867333464064,10,Undirected
1128217645172580352,12,Undirected
1127662588215476224,12,Undirected
1129156998174347270,10,Undirected
1127019780349685761,10,Undirected
1128872389771554816,12,Undirected
1130354024765566977,10,Undirected
1127709434556309504,13,Undirected
1127578575215796224,12,Undirected
1128488756862963713,11,Undirected
1127917929461272577,10,Undirected
1127532088826023936,14,Undirected
1129889273317085184,11,Undirected
1129665138275958784,13,Undirected
1128441026501382144,11,Undirected
1128553686110691328,14,Undirected
1129705836689756161,10,Undirected
1128150718890659841,12,Undirected
1127356519090085888,12,Undirected
1128856237179715586,12,Undirected
1129863095063441409,14,Undirected
1126994568774393856,11,Undirected
1127551691329380358,11,Undirected
1129736235407290369,11,Undirected
1128808315897561088,12,Undirected
1127728550759452673,12,Undirected
1129574279366844416,12,Undirected
1128095201929490432,12,Undirected
1129530852000403457,13,Undirected
1130332413769338880,10,Undirected
1129563732986568706,11,Undirected
1127336215080886272,13,Undirected
1129940721069199361,10,Undirected
1129930319581261825,10,Undirected
1128606705841987584,14,Undirected
1128971234706829312,12,Undirected
1128967039895261184,14,Undirected
1128799433485836288,12,Undirected
1128580763102801920,12,Undirected
1129648872370987008,12,Undirected
1129161746017423361,11,Undirected
1129726879349518336,10,Undirected
1129699338035220480,12,Undirected
1129518932128280576,10,Undirected
1127403684411789312,12,Undirected
1129743511455248385,11,Undirected
1129149688853123073,10,Undirected
1129161235625209856,11,Undirected
1128950358573641728,10,Undirected
1129485067888123905,14,Undirected
1129637082899419142,12,Undirected
1129522374175420416,12,Undirected
1127203639569702912,10,Undirected
1127365719883010048,12,Undirected
1128839777849991168,12,Undirected
1129704104123494400,12,Undirected
1127828026954137600,11,Undirected
1128765752188628993,12,Undirected
1129891902809968640,11,Undirected
1129540638083506176,12,Undirected
1128422200162152448,14,Undirected
1128504114944495617,10,Undirected
1129747770884206593,12,Undirected
1129270376687517696,12,Undirected
1128952992688771073,12,Undirected
1129565199562788865,12,Undirected
1130280319767072768,12,Undirected
1127001664840294400,10,Undirected
1127538257342779393,10,Undirected
1129620043837464576,12,Undirected
1129728193613762560,10,Undirected
1127393384228720641,13,Undirected
1130330589364596737,13,Undirected
1129668622786256896,12,Undirected
1127055685257052160,12,Undirected
1129296737326096384,11,Undirected
1129474264032194560,13,Undirected
1127333475906772993,14,Undirected
1129712097493782528,12,Undirected
1129743117840781312,12,Undirected
1127352259568758784,11,Undirected
1127827855717462016,13,Undirected
1128486289970327552,12,Undirected
1127383292720832513,14,Undirected
1129741036367024138,12,Undirected
1128813764134891522,10,Undirected
1128936587604049922,12,Undirected
1129307462262116352,13,Undirected
1128921270815346688,10,Undirected
1129213748235816962,12,Undirected
1128163970127286272,12,Undirected
1128494830554763264,14,Undirected
1127023520762847232,13,Undirected
1128869654787575808,14,Undirected
1130242717957492736,12,Undirected
1129687742462357505,10,Undirected
1129518894140407809,10,Undirected
1127795939618512896,12,Undirected
1129362699496771586,10,Undirected
1129657033664294913,12,Undirected
1128163053621538816,12,Undirected
1129602651799166976,10,Undirected
1129578439961223169,12,Undirected
1128171525499047936,11,Undirected
1129142685053247488,10,Undirected
1128412751481540608,12,Undirected
1129699522999754752,13,Undirected
1129349562429165568,11,Undirected
1128120330155745281,10,Undirected
1128193344994045952,11,Undirected
1129926690363379713,10,Undirected
1129734525146357762,12,Undirected
1127747918658560000,11,Undirected
1128865432549580800,12,Undirected
1129739048220876800,11,Undirected
1129242087843434496,12,Undirected
1129679353388756993,12,Undirected
1130059301173600256,12,Undirected
1129973038739546112,14,Undirected
1128280721829683200,12,Undirected
1129183962486546432,14,Undirected
